sampler_label;aggregate_report_count;average;aggregate_report_median;aggregate_report_90%_line;aggregate_report_min;aggregate_report_max;aggregate_report_error%;aggregate_report_rate;aggregate_report_bandwidth
http://tt.ttarget.ru/get/?w=250&h=630;3399;70;64;85;53;883;0.0;10.485627379240986;17.259363465308585
http://tt.ttarget.ru/get/?w=250&h=650;3460;71;64;88;52;964;0.0;10.70458440843249;17.6151238316998
http://tt.ttarget.ru/get/?w=250&h=700;3331;70;64;82;52;789;0.0;10.275979935462773;19.330812380072434
http://tt.ttarget.ru/get/?w=250&h=710;3327;70;64;85;52;807;0.0;10.297631575689294;19.36529567388048
http://tt.ttarget.ru/go/;3352;67;62;77;51;577;0.0;10.337224183923643;3.8158893960186884
http://tt.ttarget.ru/get/?w=250&h=590;3313;69;63;81;52;286;0.0;10.20046861192959;14.377916316439288
http://tt.ttarget.ru/get/?w=250&h=410;3332;68;62;79;51;549;0.0;10.281983077312367;12.082540339502934
http://tt.ttarget.ru/get/?w=250&h=530;3305;68;63;78;52;275;0.0;10.198728630500524;14.374809545300254
http://tt.ttarget.ru/get/?w=250&h=330;3444;67;62;79;50;279;0.0;10.608608867614171;9.966266687612817
http://tt.ttarget.ru/get/?w=250&h=270;3221;67;61;79;51;288;0.0;9.907263583655014;6.96019641607585
http://tt.ttarget.ru/get/?w=250&h=540;3428;69;63;82;52;899;0.0;10.544382993645073;14.874772715563116
http://tt.ttarget.ru/get/?w=250&h=610;3245;70;64;83;52;281;0.0;9.99350191400969;16.45858379643745
http://tt.ttarget.ru/get/?w=250&h=370;3273;68;62;81;51;367;0.0;10.097488739433578;9.491784390039799
http://tt.ttarget.ru/get/?w=250&h=510;3244;69;63;80;52;774;0.0;9.975430428752857;14.069456077278835
http://tt.ttarget.ru/get/?w=250&h=570;3348;70;63;84;52;1010;0.0;10.330208764015822;14.565114298954327
http://tt.ttarget.ru/get/?w=250&h=760;3413;71;64;85;52;859;0.0;10.535836662118529;19.82439178927092
http://tt.ttarget.ru/get/?w=250&h=400;3341;68;62;78;51;730;0.0;10.313702004704604;12.116932146352081
http://tt.ttarget.ru/get/?w=250&h=380;3224;68;62;80;51;287;0.0;9.920732607946432;9.324886323336186
TOTAL;60000;69;63;81;50;1010;0.0;184.41054705388785;245.02198075272545
