sampler_label;aggregate_report_count;average;aggregate_report_median;aggregate_report_90%_line;aggregate_report_min;aggregate_report_max;aggregate_report_error%;aggregate_report_rate;aggregate_report_bandwidth
http://tt.ttarget.ru/get/?w=250&h=410;8186;251;86;284;49;7849;0.29440508184705594;19.61879243528507;18.2051192561827
http://tt.ttarget.ru/get/?w=250&h=330;8315;243;86;279;49;7425;0.2899579073962718;20.131953271593726;15.381313933781248
http://tt.ttarget.ru/get/?w=250&h=700;8431;278;90;303;49;8893;0.29723638951488557;20.1587643162853;28.685567843202303
http://tt.ttarget.ru/go/;8418;258;89;293;49;7082;0.2861724875267284;20.280965333474676;7.288154292569428
http://tt.ttarget.ru/get/?w=250&h=570;8345;253;87;290;49;8175;0.2957459556620731;20.10247565179477;21.969507475043542
http://tt.ttarget.ru/get/?w=250&h=630;8251;270;89;306;49;8409;0.2889346745848988;20.259436684042655;25.69061199793379
http://tt.ttarget.ru/get/?w=250&h=370;8243;244;87;292;49;7525;0.29212665291762707;19.607563291063965;14.960645552647604
http://tt.ttarget.ru/get/?w=250&h=710;8257;274;90;294;49;8643;0.28666585927092164;20.34726123941607;29.273471903153986
http://tt.ttarget.ru/get/?w=250&h=540;8320;271;89;303;49;8066;0.28497596153846155;20.30972328002031;22.43263631559162
http://tt.ttarget.ru/get/?w=250&h=590;8421;257;88;301;49;8110;0.30483315520722004;20.567668631191246;22.272415134858548
http://tt.ttarget.ru/get/?w=250&h=400;8323;253;87;289;50;7821;0.2984500780968401;20.005624553821452;18.4954388008283
http://tt.ttarget.ru/get/?w=250&h=380;8401;251;86;294;50;7533;0.2968694203071063;20.086601201705246;15.265139220637005
http://tt.ttarget.ru/get/?w=250&h=510;8400;263;88;290;49;8037;0.29;20.039315227971066;22.025906648549775
http://tt.ttarget.ru/get/?w=250&h=270;8233;236;85;279;49;7024;0.2824000971699259;20.04758043504199;12.024124786478536
http://tt.ttarget.ru/get/?w=250&h=530;8332;260;88;286;49;7916;0.29176668266922706;20.247332392086722;22.212930479075894
http://tt.ttarget.ru/get/?w=250&h=760;8353;263;89;293;49;8678;0.28588531066682626;20.14586639525741;29.013482368749187
http://tt.ttarget.ru/get/?w=250&h=650;8308;261;90;286;49;8274;0.2963408762638421;20.117002111461947;25.3020357628867
http://tt.ttarget.ru/get/?w=250&h=610;8463;264;87;292;50;8329;0.29871204064752455;20.456506658093772;25.67679286382029
TOTAL;150000;258;88;292;49;8893;0.2923266666666667;356.7640077441574;369.9027551434964
